Time,Text,Image
4460,0.597701149,0.402298851
4470,0.593869732,0.406130268
4480,0.594488189,0.405511811
4490,0.590733591,0.409266409
4500,0.58203125,0.41796875
4510,0.573705179,0.426294821
4520,0.576,0.424
4530,0.570866142,0.429133858
4540,0.56504065,0.43495935
4550,0.560483871,0.439516129
4560,0.566801619,0.433198381
4570,0.570850202,0.429149798
4580,0.556910569,0.443089431
4590,0.574297189,0.425702811
4600,0.57254902,0.42745098
4610,0.57421875,0.42578125
4620,0.571984436,0.428015564
4630,0.562015504,0.437984496
4640,0.571984436,0.428015564
4650,0.575396825,0.424603175
4660,0.572,0.428
4670,0.575875486,0.424124514
4680,0.56870229,0.43129771
4690,0.574144487,0.425855513
4700,0.578544061,0.421455939
4710,0.562015504,0.437984496
4720,0.560311284,0.439688716
4730,0.565217391,0.434782609
4740,0.563492063,0.436507937
4750,0.552941176,0.447058824
4760,0.526717557,0.473282443
4770,0.520754717,0.479245283
4780,0.513618677,0.486381323
4790,0.511538462,0.488461538
4800,0.51372549,0.48627451
4810,0.513618677,0.486381323
4820,0.515503876,0.484496124
4830,0.515151515,0.484848485
4840,0.522727273,0.477272727
4850,0.53307393,0.46692607
4860,0.53515625,0.46484375
4870,0.5390625,0.4609375
4880,0.525096525,0.474903475
4890,0.533834586,0.466165414
4900,0.539325843,0.460674157
4910,0.527675277,0.472324723
4920,0.527675277,0.472324723
4930,0.522058824,0.477941176
4940,0.520295203,0.479704797
4950,0.513108614,0.486891386
4960,0.515037594,0.484962406
4970,0.511538462,0.488461538
4980,0.515503876,0.484496124
4990,0.507575758,0.492424242
5000,0.507874016,0.492125984
5010,0.515384615,0.484615385
5020,0.528301887,0.471698113
5030,0.526515152,0.473484848
5040,0.532319392,0.467680608
5050,0.541501976,0.458498024
5060,0.551181102,0.448818898
5070,0.54296875,0.45703125
5080,0.547619048,0.452380952
5090,0.548638132,0.451361868
5100,0.556862745,0.443137255
5110,0.559055118,0.440944882
5120,0.556862745,0.443137255
5130,0.568093385,0.431906615
5140,0.56626506,0.43373494
5150,0.563492063,0.436507937
5160,0.55511811,0.44488189
5170,0.562248996,0.437751004
5180,0.576612903,0.423387097
5190,0.573705179,0.426294821
5200,0.586065574,0.413934426
5210,0.591269841,0.408730159
5220,0.588235294,0.411764706
5230,0.594488189,0.405511811
5240,0.588709677,0.411290323
5250,0.593625498,0.406374502
5260,0.607843137,0.392156863
5270,0.61003861,0.38996139
5280,0.602316602,0.397683398
5290,0.603174603,0.396825397
5300,0.604081633,0.395918367
5310,0.594262295,0.405737705
5320,0.574380165,0.425619835
5330,0.59375,0.40625
5340,0.596837945,0.403162055
5350,0.59765625,0.40234375
5360,0.57751938,0.42248062
5370,0.554263566,0.445736434
5380,0.548387097,0.451612903
5390,0.55952381,0.44047619
5400,0.551587302,0.448412698
5410,0.568,0.432
5420,0.557312253,0.442687747
5430,0.565891473,0.434108527
5440,0.55984556,0.44015444
5450,0.567669173,0.432330827
5460,0.558490566,0.441509434
5470,0.563706564,0.436293436
5480,0.551181102,0.448818898
5490,0.550387597,0.449612403
5500,0.568627451,0.431372549
5510,0.578125,0.421875
5520,0.57751938,0.42248062
5530,0.568627451,0.431372549
5540,0.57421875,0.42578125
5550,0.565384615,0.434615385
5560,0.560150376,0.439849624
5570,0.561068702,0.438931298
